season,team1,team2,result,winner
2019,Rajasthan Royals,Delhi Capitals,normal,Delhi Capitals
2019,Sunrisers Hyderabad,Chennai Super Kings,normal,Chennai Super Kings
2019,Royal Challengers Bangalore,Kings XI Punjab,normal,Royal Challengers Bangalore
2019,Kolkata Knight Riders,Rajasthan Royals,normal,Rajasthan Royals
2019,Mumbai Indians,Chennai Super Kings,normal,Mumbai Indians
2019,Sunrisers Hyderabad,Rajasthan Royals,normal,Rajasthan Royals
2019,Delhi Capitals,Royal Challengers Bangalore,normal,Delhi Capitals
2019,Kolkata Knight Riders,Mumbai Indians,normal,Kolkata Knight Riders
2019,Sunrisers Hyderabad,Kings XI Punjab,normal,Sunrisers Hyderabad
2019,Royal Challengers Bangalore,Rajasthan Royals,no result,
2019,Chennai Super Kings,Delhi Capitals,normal,Chennai Super Kings
2019,Mumbai Indians,Sunrisers Hyderabad,tie,Mumbai Indians
2019,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2019,Rajasthan Royals,Delhi Capitals,normal,Delhi Capitals
2019,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2019,Chennai Super Kings,Kings XI Punjab,normal,Kings XI Punjab
2019,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2019,Chennai Super Kings,Mumbai Indians,normal,Mumbai Indians
2019,Sunrisers Hyderabad,Delhi Capitals,normal,Delhi Capitals
2019,Delhi Capitals,Chennai Super Kings,normal,Chennai Super Kings
2019,Mumbai Indians,Chennai Super Kings,normal,Mumbai Indians
