season,team1,team2,result,winner
2010,Rajasthan Royals,Delhi Daredevils,normal,Delhi Daredevils
2010,Kings XI Punjab,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2010,Chennai Super Kings,Kolkata Knight Riders,normal,Chennai Super Kings
2010,Mumbai Indians,Delhi Daredevils,normal,Mumbai Indians
2010,Rajasthan Royals,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2010,Delhi Daredevils,Chennai Super Kings,normal,Chennai Super Kings
2010,Deccan Chargers,Kings XI Punjab,normal,Deccan Chargers
2010,Rajasthan Royals,Kolkata Knight Riders,normal,Rajasthan Royals
2010,Mumbai Indians,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2010,Deccan Chargers,Delhi Daredevils,normal,Deccan Chargers
2010,Kings XI Punjab,Chennai Super Kings,tie,Kings XI Punjab
2010,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2010,Royal Challengers Bangalore,Chennai Super Kings,normal,Royal Challengers Bangalore
2010,Rajasthan Royals,Kings XI Punjab,normal,Rajasthan Royals
2010,Chennai Super Kings,Mumbai Indians,normal,Mumbai Indians
2010,Deccan Chargers,Rajasthan Royals,normal,Rajasthan Royals
2010,Kolkata Knight Riders,Kings XI Punjab,normal,Kolkata Knight Riders
2010,Delhi Daredevils,Royal Challengers Bangalore,normal,Delhi Daredevils
2010,Rajasthan Royals,Chennai Super Kings,normal,Rajasthan Royals
2010,Mumbai Indians,Deccan Chargers,normal,Mumbai Indians
2010,Delhi Daredevils,Kolkata Knight Riders,normal,Delhi Daredevils
2010,Kings XI Punjab,Mumbai Indians,normal,Mumbai Indians
2010,Royal Challengers Bangalore,Chennai Super Kings,normal,Chennai Super Kings
2010,Delhi Daredevils,Rajasthan Royals,normal,Delhi Daredevils
2010,Kolkata Knight Riders,Deccan Chargers,normal,Kolkata Knight Riders
2010,Kings XI Punjab,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2010,Chennai Super Kings,Rajasthan Royals,normal,Chennai Super Kings
2010,Mumbai Indians,Deccan Chargers,normal,Mumbai Indians
2010,Kolkata Knight Riders,Kings XI Punjab,normal,Kings XI Punjab
2010,Delhi Daredevils,Royal Challengers Bangalore,normal,Delhi Daredevils
2010,Rajasthan Royals,Deccan Chargers,normal,Rajasthan Royals
2010,Chennai Super Kings,Mumbai Indians,normal,Chennai Super Kings
2010,Kings XI Punjab,Rajasthan Royals,normal,Rajasthan Royals
2010,Kolkata Knight Riders,Delhi Daredevils,normal,Kolkata Knight Riders
2010,Royal Challengers Bangalore,Deccan Chargers,normal,Deccan Chargers
2010,Mumbai Indians,Kings XI Punjab,normal,Kings XI Punjab
2010,Chennai Super Kings,Deccan Chargers,normal,Deccan Chargers
2010,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2010,Delhi Daredevils,Kings XI Punjab,normal,Kings XI Punjab
2010,Mumbai Indians,Rajasthan Royals,normal,Mumbai Indians
2010,Deccan Chargers,Royal Challengers Bangalore,normal,Deccan Chargers
2010,Mumbai Indians,Delhi Daredevils,normal,Mumbai Indians
2010,Kolkata Knight Riders,Chennai Super Kings,normal,Chennai Super Kings
2010,Rajasthan Royals,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2010,Chennai Super Kings,Delhi Daredevils,normal,Delhi Daredevils
2010,Kings XI Punjab,Deccan Chargers,normal,Deccan Chargers
2010,Mumbai Indians,Royal Challengers Bangalore,normal,Mumbai Indians
2010,Rajasthan Royals,Kolkata Knight Riders,normal,Kolkata Knight Riders
2010,Kings XI Punjab,Chennai Super Kings,normal,Chennai Super Kings
2010,Deccan Chargers,Delhi Daredevils,normal,Deccan Chargers
2010,Mumbai Indians,Kolkata Knight Riders,normal,Kolkata Knight Riders
2010,Mumbai Indians,Royal Challengers Bangalore,normal,Mumbai Indians
2010,Chennai Super Kings,Deccan Chargers,normal,Chennai Super Kings
2010,Deccan Chargers,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2010,Chennai Super Kings,Mumbai Indians,normal,Chennai Super Kings
2011,Chennai Super Kings,Kolkata Knight Riders,normal,Chennai Super Kings
2011,Deccan Chargers,Rajasthan Royals,normal,Rajasthan Royals
2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2011,Delhi Daredevils,Mumbai Indians,normal,Mumbai Indians
2011,Kings XI Punjab,Pune Warriors,normal,Pune Warriors
2011,Kolkata Knight Riders,Deccan Chargers,normal,Kolkata Knight Riders
2011,Delhi Daredevils,Rajasthan Royals,normal,Rajasthan Royals
2011,Royal Challengers Bangalore,Mumbai Indians,normal,Mumbai Indians
2011,Chennai Super Kings,Kings XI Punjab,normal,Kings XI Punjab
2011,Kochi Tuskers Kerala,Pune Warriors,normal,Pune Warriors
2011,Deccan Chargers,Royal Challengers Bangalore,normal,Deccan Chargers
2011,Rajasthan Royals,Kolkata Knight Riders,normal,Kolkata Knight Riders
2011,Mumbai Indians,Kochi Tuskers Kerala,normal,Kochi Tuskers Kerala
2011,Chennai Super Kings,Royal Challengers Bangalore,normal,Chennai Super Kings
2011,Deccan Chargers,Kings XI Punjab,normal,Kings XI Punjab
2011,Pune Warriors,Delhi Daredevils,normal,Delhi Daredevils
2011,Rajasthan Royals,Kolkata Knight Riders,normal,Kolkata Knight Riders
2011,Chennai Super Kings,Kochi Tuskers Kerala,normal,Kochi Tuskers Kerala
2011,Deccan Chargers,Delhi Daredevils,normal,Deccan Chargers
2011,Pune Warriors,Mumbai Indians,normal,Mumbai Indians
2011,Kochi Tuskers Kerala,Kolkata Knight Riders,normal,Kochi Tuskers Kerala
2011,Kings XI Punjab,Rajasthan Royals,normal,Kings XI Punjab
2011,Mumbai Indians,Chennai Super Kings,normal,Mumbai Indians
2011,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2011,Delhi Daredevils,Kings XI Punjab,normal,Delhi Daredevils
2011,Mumbai Indians,Deccan Chargers,normal,Mumbai Indians
2011,Kochi Tuskers Kerala,Rajasthan Royals,normal,Rajasthan Royals
2011,Chennai Super Kings,Pune Warriors,normal,Chennai Super Kings
2011,Delhi Daredevils,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2011,Pune Warriors,Chennai Super Kings,normal,Chennai Super Kings
2011,Deccan Chargers,Kochi Tuskers Kerala,normal,Deccan Chargers
2011,Kolkata Knight Riders,Delhi Daredevils,normal,Kolkata Knight Riders
2011,Mumbai Indians,Rajasthan Royals,normal,Rajasthan Royals
2011,Royal Challengers Bangalore,Pune Warriors,normal,Royal Challengers Bangalore
2011,Delhi Daredevils,Kochi Tuskers Kerala,normal,Delhi Daredevils
2011,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2011,Pune Warriors,Rajasthan Royals,normal,Rajasthan Royals
2011,Chennai Super Kings,Deccan Chargers,normal,Chennai Super Kings
